Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"750PCS M3 Screws Assortment Kit, M3x6/8/10/12/16/20/25/30 mm Hex Socket Head Bolts, Nuts & Washers Assorted Set - 12.9 Alloy Steel Black Zinc Plated M3 Screw for 3D Printer","To connect and fasten the main diffuser with the nozzle.",1,9.99,"https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjYyNzY2Nzc4NjY3NTA0OjE3NzQ0NTcxNjA6c3BfYXRmOjMwMDk0MzE2NDExMDgwMjo6MDo6&url=%2FFgruh-750PCS-Assortment-Washers-Assorted%2Fdp%2FB0FGV5FCBN%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3SV6A2PONT9AH%26dib%3DeyJ2IjoiMSJ9.cuBJ5G2d98fh1Tef_3PCuHSyef2f1dMvuheaiNA3cTkJSYAcpsTKi-tMSiI430AVsfmcujxVJgwqgYyb2QJZ68Bhq3CcPcsQBhZCIOrs9EH9kQugWh9304dcqhcMi8klglnqLjVz2gsc2NrnuUlRadaf5aBB2UUJaUxeA6eqdd9jYwsIX_g1iQuqkKYRj5DKmak8-YF8Rmt9YuOQvnoZW0FnBmGUDPp4dqFUct9KW10.HxWUwUGwKnYZIg2L9q5aafHZeIvgNyfCMHl4NYspuwQ%26dib_tag%3Dse%26keywords%3Dm3%2Bscrews%26qid%3D1774457160%26sprefix%3Dm3%2Bscrew%252Caps%252C219%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Amazon"
"Tax for amazon","For shipping and tax on amazon",,13.37,"https://Amazon.com","Amazon"
"Metal 3d printed parts (Nozzle, Connectors, etc)","Main body of the engine.",1,170.19,"https://jlc3dp.com/","JLC3dp"
"Eastrans 10ft x 1/4"" ID Clear Vinyl Tubing, Flexible Hybrid PVC Tubing Hose, Lightweight Plastic Tube UV Chemical Resistant Vinyl Hose","Hose for flow of fluids.",1,8.69,"https://www.amazon.com/gp/product/B09Y5R8SSL/ref=ox_sc_act_title_6?smid=A3JHV5VFXKGHRT&psc=1","Amazon"
"Boeray 5pcs Brass Hose Barb Fittings 1/4 Inch Barb to 1/4 Inch NPT Male Thread Air Hose Fittings Adapter Connector ","Adapt the ball valves to barbed.",1,6.99,"https://www.amazon.com/gp/product/B07FGDNG73/ref=ox_sc_act_title_5?smid=A3J5E5ZOT6VBB2&psc=1","Amazon"
"Pack of 2,BLUEFIRE Standard Propane Gas Cylinder/Canister, Welding Brazing Soldering Fuel gas","Fuel",1,29.99,"https://www.amazon.com/gp/product/B0B8J3PT9J/ref=ox_sc_act_title_4?smid=A31ODVQTO0D40S&psc=1","Amazon"
"Uniweld FV600 Oxy/Fuel Adapter to Connect an MC Regulator (CGA200) to a Disposable Fuel Cylinder (CGA600)","To adapt the propane tank and add a regulator",1,24.88,"https://www.amazon.com/gp/product/B00FPGCU8O/ref=ox_sc_act_title_3?smid=A3H8PI3W5ZJUBS&psc=1","Amazon"
"DERNORD 1PC Type Stainless Steel 1/4 Inch Ball Valve NPT Standard Port with Male Hex Nipple for Water, Oil, and Gas","Safety shutoff valve for the propane flow to mitigate backflow.",1,9.99,"https://www.amazon.com/gp/product/B09T9MTG1H/ref=ox_sc_act_title_2?smid=A1USG81SWV090L&psc=1","Amazon"
"Hpoouo 200Amp 20PCS Rods Stick Welder, Super MINI Portable Welding","Welding the valves on the adapters together to midigate leaks.",1,68.99,"https://www.amazon.com/gp/product/B0D5Y3C7N3/ref=ox_sc_act_title_1?smid=AASXWC6U6B5F2&psc=1","Amazon"
"635G Ms. Cream Food-Grade Nitrous Oxide Tank 99.5% (635g / 321 liters) Made in Italy","Nitrous oxidizer ",1,110.40,"https://shopbvv.com/products/635g-ms-cream-charger-white-body-nitrous-oxide?variant=40605559717984&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorqbn4RgjtyVCwJ5w3orB01RUX0FwZVbCIDrbPuBMl910M0jtVA_No","bvv"
"DVBB F7TC Spark Plug 3Pcs Compatible with Honda GX120 GX160 GX200 GX240 GX340 GX390 Sparkplugs 4-Stroke Generator Lawnmower Chainsaw Tractor Water Pump Go Kart Mini Bike Sparkplugs","To create a spark in the engine",1,10.47,"https://www.amazon.com/gp/product/B0F2HDXSQT/ref=ox_sc_act_title_2?smid=AAQID7PJ3R88S&psc=1","Amazon"
"High voltage generator 2pcs 3v-6v intake","To power the spark plug to create a spark in the engine.",1,6.99,"https://www.amazon.com/gp/product/B09L18GG2Z/ref=ox_sc_act_title_1?smid=A19FRW2DHVT2CC&psc=1","Amazon"
